"Number","Name","Type_1","Type_2","HP","Attack","Defense","Sp_Atk","Sp_Def","Speed","Generation","Legendary"
60,"Poliwag","Water",NA,40,50,40,40,40,90,1,FALSE
61,"Poliwhirl","Water",NA,65,65,65,50,50,90,1,FALSE
62,"Poliwrath","Water","Fighting",90,95,95,70,90,70,1,FALSE
63,"Abra","Psychic",NA,25,20,15,105,55,90,1,FALSE
64,"Kadabra","Psychic",NA,40,35,30,120,70,105,1,FALSE
65,"Alakazam","Psychic",NA,55,50,45,135,95,120,1,FALSE
66,"Machop","Fighting",NA,70,80,50,35,35,35,1,FALSE
67,"Machoke","Fighting",NA,80,100,70,50,60,45,1,FALSE
68,"Machamp","Fighting",NA,90,130,80,65,85,55,1,FALSE
69,"Bellsprout","Grass","Poison",50,75,35,70,30,40,1,FALSE
70,"Weepinbell","Grass","Poison",65,90,50,85,45,55,1,FALSE
71,"Victreebel","Grass","Poison",80,105,65,100,70,70,1,FALSE
72,"Tentacool","Water","Poison",40,40,35,50,100,70,1,FALSE
73,"Tentacruel","Water","Poison",80,70,65,80,120,100,1,FALSE
74,"Geodude","Rock","Ground",40,80,100,30,30,20,1,FALSE
75,"Graveler","Rock","Ground",55,95,115,45,45,35,1,FALSE
76,"Golem","Rock","Ground",80,120,130,55,65,45,1,FALSE
77,"Ponyta","Fire",NA,50,85,55,65,65,90,1,FALSE
78,"Rapidash","Fire",NA,65,100,70,80,80,105,1,FALSE
79,"Slowpoke","Water","Psychic",90,65,65,40,40,15,1,FALSE
80,"Slowbro","Water","Psychic",95,75,110,100,80,30,1,FALSE
81,"Magnemite","Electric","Steel",25,35,70,95,55,45,1,FALSE
82,"Magneton","Electric","Steel",50,60,95,120,70,70,1,FALSE
83,"Farfetch'd","Normal","Flying",52,65,55,58,62,60,1,FALSE
84,"Doduo","Normal","Flying",35,85,45,35,35,75,1,FALSE
85,"Dodrio","Normal","Flying",60,110,70,60,60,100,1,FALSE
86,"Seel","Water",NA,65,45,55,45,70,45,1,FALSE
87,"Dewgong","Water","Ice",90,70,80,70,95,70,1,FALSE
88,"Grimer","Poison",NA,80,80,50,40,50,25,1,FALSE
89,"Muk","Poison",NA,105,105,75,65,100,50,1,FALSE
90,"Shellder","Water",NA,30,65,100,45,25,40,1,FALSE
91,"Cloyster","Water","Ice",50,95,180,85,45,70,1,FALSE
92,"Gastly","Ghost","Poison",30,35,30,100,35,80,1,FALSE
93,"Haunter","Ghost","Poison",45,50,45,115,55,95,1,FALSE
94,"Gengar","Ghost","Poison",60,65,60,130,75,110,1,FALSE
95,"Onix","Rock","Ground",35,45,160,30,45,70,1,FALSE
96,"Drowzee","Psychic",NA,60,48,45,43,90,42,1,FALSE
97,"Hypno","Psychic",NA,85,73,70,73,115,67,1,FALSE
98,"Krabby","Water",NA,30,105,90,25,25,50,1,FALSE
99,"Kingler","Water",NA,55,130,115,50,50,75,1,FALSE
100,"Voltorb","Electric",NA,40,30,50,55,55,100,1,FALSE
101,"Electrode","Electric",NA,60,50,70,80,80,140,1,FALSE
102,"Exeggcute","Grass","Psychic",60,40,80,60,45,40,1,FALSE
103,"Exeggutor","Grass","Psychic",95,95,85,125,65,55,1,FALSE
104,"Cubone","Ground",NA,50,50,95,40,50,35,1,FALSE
105,"Marowak","Ground",NA,60,80,110,50,80,45,1,FALSE
106,"Hitmonlee","Fighting",NA,50,120,53,35,110,87,1,FALSE
107,"Hitmonchan","Fighting",NA,50,105,79,35,110,76,1,FALSE
108,"Lickitung","Normal",NA,90,55,75,60,75,30,1,FALSE
109,"Koffing","Poison",NA,40,65,95,60,45,35,1,FALSE
110,"Weezing","Poison",NA,65,90,120,85,70,60,1,FALSE
111,"Rhyhorn","Ground","Rock",80,85,95,30,30,25,1,FALSE
112,"Rhydon","Ground","Rock",105,130,120,45,45,40,1,FALSE
113,"Chansey","Normal",NA,250,5,5,35,105,50,1,FALSE
114,"Tangela","Grass",NA,65,55,115,100,40,60,1,FALSE
115,"Kangaskhan","Normal",NA,105,95,80,40,80,90,1,FALSE
116,"Horsea","Water",NA,30,40,70,70,25,60,1,FALSE
117,"Seadra","Water",NA,55,65,95,95,45,85,1,FALSE
118,"Goldeen","Water",NA,45,67,60,35,50,63,1,FALSE
119,"Seaking","Water",NA,80,92,65,65,80,68,1,FALSE
120,"Staryu","Water",NA,30,45,55,70,55,85,1,FALSE
121,"Starmie","Water","Psychic",60,75,85,100,85,115,1,FALSE
122,"Mr. Mime","Psychic","Fairy",40,45,65,100,120,90,1,FALSE
123,"Scyther","Bug","Flying",70,110,80,55,80,105,1,FALSE
124,"Jynx","Ice","Psychic",65,50,35,115,95,95,1,FALSE
125,"Electabuzz","Electric",NA,65,83,57,95,85,105,1,FALSE
126,"Magmar","Fire",NA,65,95,57,100,85,93,1,FALSE
127,"Pinsir","Bug",NA,65,125,100,55,70,85,1,FALSE
128,"Tauros","Normal",NA,75,100,95,40,70,110,1,FALSE
129,"Magikarp","Water",NA,20,10,55,15,20,80,1,FALSE
130,"Gyarados","Water","Flying",95,125,79,60,100,81,1,FALSE
131,"Lapras","Water","Ice",130,85,80,85,95,60,1,FALSE
132,"Ditto","Normal",NA,48,48,48,48,48,48,1,FALSE
133,"Eevee","Normal",NA,55,55,50,45,65,55,1,FALSE
134,"Vaporeon","Water",NA,130,65,60,110,95,65,1,FALSE
135,"Jolteon","Electric",NA,65,65,60,110,95,130,1,FALSE
136,"Flareon","Fire",NA,65,130,60,95,110,65,1,FALSE
137,"Porygon","Normal",NA,65,60,70,85,75,40,1,FALSE
138,"Omanyte","Rock","Water",35,40,100,90,55,35,1,FALSE
139,"Omastar","Rock","Water",70,60,125,115,70,55,1,FALSE
140,"Kabuto","Rock","Water",30,80,90,55,45,55,1,FALSE
141,"Kabutops","Rock","Water",60,115,105,65,70,80,1,FALSE
142,"Aerodactyl","Rock","Flying",80,105,65,60,75,130,1,FALSE
143,"Snorlax","Normal",NA,160,110,65,65,110,30,1,FALSE
144,"Articuno","Ice","Flying",90,85,100,95,125,85,1,TRUE
145,"Zapdos","Electric","Flying",90,90,85,125,90,100,1,TRUE
146,"Moltres","Fire","Flying",90,100,90,125,85,90,1,TRUE
147,"Dratini","Dragon",NA,41,64,45,50,50,50,1,FALSE
148,"Dragonair","Dragon",NA,61,84,65,70,70,70,1,FALSE
149,"Dragonite","Dragon","Flying",91,134,95,100,100,80,1,FALSE
150,"Mewtwo","Psychic",NA,106,110,90,154,90,130,1,TRUE
151,"Mew","Psychic",NA,100,100,100,100,100,100,1,FALSE
152,"Chikorita","Grass",NA,45,49,65,49,65,45,2,FALSE
153,"Bayleef","Grass",NA,60,62,80,63,80,60,2,FALSE
154,"Meganium","Grass",NA,80,82,100,83,100,80,2,FALSE
155,"Cyndaquil","Fire",NA,39,52,43,60,50,65,2,FALSE
156,"Quilava","Fire",NA,58,64,58,80,65,80,2,FALSE
157,"Typhlosion","Fire",NA,78,84,78,109,85,100,2,FALSE
158,"Totodile","Water",NA,50,65,64,44,48,43,2,FALSE
159,"Croconaw","Water",NA,65,80,80,59,63,58,2,FALSE
160,"Feraligatr","Water",NA,85,105,100,79,83,78,2,FALSE
161,"Sentret","Normal",NA,35,46,34,35,45,20,2,FALSE
162,"Furret","Normal",NA,85,76,64,45,55,90,2,FALSE
163,"Hoothoot","Normal","Flying",60,30,30,36,56,50,2,FALSE
164,"Noctowl","Normal","Flying",100,50,50,76,96,70,2,FALSE
165,"Ledyba","Bug","Flying",40,20,30,40,80,55,2,FALSE
166,"Ledian","Bug","Flying",55,35,50,55,110,85,2,FALSE
167,"Spinarak","Bug","Poison",40,60,40,40,40,30,2,FALSE
168,"Ariados","Bug","Poison",70,90,70,60,60,40,2,FALSE
169,"Crobat","Poison","Flying",85,90,80,70,80,130,2,FALSE
170,"Chinchou","Water","Electric",75,38,38,56,56,67,2,FALSE
171,"Lanturn","Water","Electric",125,58,58,76,76,67,2,FALSE
172,"Pichu","Electric",NA,20,40,15,35,35,60,2,FALSE
173,"Cleffa","Fairy",NA,50,25,28,45,55,15,2,FALSE
174,"Igglybuff","Normal","Fairy",90,30,15,40,20,15,2,FALSE
175,"Togepi","Fairy",NA,35,20,65,40,65,20,2,FALSE
176,"Togetic","Fairy","Flying",55,40,85,80,105,40,2,FALSE
177,"Natu","Psychic","Flying",40,50,45,70,45,70,2,FALSE
178,"Xatu","Psychic","Flying",65,75,70,95,70,95,2,FALSE
179,"Mareep","Electric",NA,55,40,40,65,45,35,2,FALSE
180,"Flaaffy","Electric",NA,70,55,55,80,60,45,2,FALSE
181,"Ampharos","Electric",NA,90,75,85,115,90,55,2,FALSE
182,"Bellossom","Grass",NA,75,80,95,90,100,50,2,FALSE
183,"Marill","Water","Fairy",70,20,50,20,50,40,2,FALSE
184,"Azumarill","Water","Fairy",100,50,80,60,80,50,2,FALSE
185,"Sudowoodo","Rock",NA,70,100,115,30,65,30,2,FALSE
186,"Politoed","Water",NA,90,75,75,90,100,70,2,FALSE
187,"Hoppip","Grass","Flying",35,35,40,35,55,50,2,FALSE
188,"Skiploom","Grass","Flying",55,45,50,45,65,80,2,FALSE
189,"Jumpluff","Grass","Flying",75,55,70,55,95,110,2,FALSE
190,"Aipom","Normal",NA,55,70,55,40,55,85,2,FALSE
191,"Sunkern","Grass",NA,30,30,30,30,30,30,2,FALSE
192,"Sunflora","Grass",NA,75,75,55,105,85,30,2,FALSE
193,"Yanma","Bug","Flying",65,65,45,75,45,95,2,FALSE
194,"Wooper","Water","Ground",55,45,45,25,25,15,2,FALSE
195,"Quagsire","Water","Ground",95,85,85,65,65,35,2,FALSE
196,"Espeon","Psychic",NA,65,65,60,130,95,110,2,FALSE
197,"Umbreon","Dark",NA,95,65,110,60,130,65,2,FALSE
198,"Murkrow","Dark","Flying",60,85,42,85,42,91,2,FALSE
199,"Slowking","Water","Psychic",95,75,80,100,110,30,2,FALSE
200,"Misdreavus","Ghost",NA,60,60,60,85,85,85,2,FALSE
201,"Unown","Psychic",NA,48,72,48,72,48,48,2,FALSE
202,"Wobbuffet","Psychic",NA,190,33,58,33,58,33,2,FALSE
203,"Girafarig","Normal","Psychic",70,80,65,90,65,85,2,FALSE
204,"Pineco","Bug",NA,50,65,90,35,35,15,2,FALSE
205,"Forretress","Bug","Steel",75,90,140,60,60,40,2,FALSE
206,"Dunsparce","Normal",NA,100,70,70,65,65,45,2,FALSE
207,"Gligar","Ground","Flying",65,75,105,35,65,85,2,FALSE
208,"Steelix","Steel","Ground",75,85,200,55,65,30,2,FALSE
209,"Snubbull","Fairy",NA,60,80,50,40,40,30,2,FALSE
210,"Granbull","Fairy",NA,90,120,75,60,60,45,2,FALSE
211,"Qwilfish","Water","Poison",65,95,75,55,55,85,2,FALSE
212,"Scizor","Bug","Steel",70,130,100,55,80,65,2,FALSE
213,"Shuckle","Bug","Rock",20,10,230,10,230,5,2,FALSE
214,"Heracross","Bug","Fighting",80,125,75,40,95,85,2,FALSE
215,"Sneasel","Dark","Ice",55,95,55,35,75,115,2,FALSE
216,"Teddiursa","Normal",NA,60,80,50,50,50,40,2,FALSE
217,"Ursaring","Normal",NA,90,130,75,75,75,55,2,FALSE
218,"Slugma","Fire",NA,40,40,40,70,40,20,2,FALSE
219,"Magcargo","Fire","Rock",50,50,120,80,80,30,2,FALSE
220,"Swinub","Ice","Ground",50,50,40,30,30,50,2,FALSE
221,"Piloswine","Ice","Ground",100,100,80,60,60,50,2,FALSE
222,"Corsola","Water","Rock",55,55,85,65,85,35,2,FALSE
223,"Remoraid","Water",NA,35,65,35,65,35,65,2,FALSE
224,"Octillery","Water",NA,75,105,75,105,75,45,2,FALSE
225,"Delibird","Ice","Flying",45,55,45,65,45,75,2,FALSE
226,"Mantine","Water","Flying",65,40,70,80,140,70,2,FALSE
227,"Skarmory","Steel","Flying",65,80,140,40,70,70,2,FALSE
228,"Houndour","Dark","Fire",45,60,30,80,50,65,2,FALSE
229,"Houndoom","Dark","Fire",75,90,50,110,80,95,2,FALSE
230,"Kingdra","Water","Dragon",75,95,95,95,95,85,2,FALSE
231,"Phanpy","Ground",NA,90,60,60,40,40,40,2,FALSE
232,"Donphan","Ground",NA,90,120,120,60,60,50,2,FALSE
233,"Porygon2","Normal",NA,85,80,90,105,95,60,2,FALSE
234,"Stantler","Normal",NA,73,95,62,85,65,85,2,FALSE
235,"Smeargle","Normal",NA,55,20,35,20,45,75,2,FALSE
236,"Tyrogue","Fighting",NA,35,35,35,35,35,35,2,FALSE
237,"Hitmontop","Fighting",NA,50,95,95,35,110,70,2,FALSE
238,"Smoochum","Ice","Psychic",45,30,15,85,65,65,2,FALSE
239,"Elekid","Electric",NA,45,63,37,65,55,95,2,FALSE
240,"Magby","Fire",NA,45,75,37,70,55,83,2,FALSE
241,"Miltank","Normal",NA,95,80,105,40,70,100,2,FALSE
242,"Blissey","Normal",NA,255,10,10,75,135,55,2,FALSE
243,"Raikou","Electric",NA,90,85,75,115,100,115,2,TRUE
244,"Entei","Fire",NA,115,115,85,90,75,100,2,TRUE
245,"Suicune","Water",NA,100,75,115,90,115,85,2,TRUE
246,"Larvitar","Rock","Ground",50,64,50,45,50,41,2,FALSE
247,"Pupitar","Rock","Ground",70,84,70,65,70,51,2,FALSE
248,"Tyranitar","Rock","Dark",100,134,110,95,100,61,2,FALSE
249,"Lugia","Psychic","Flying",106,90,130,90,154,110,2,TRUE
250,"Ho-oh","Fire","Flying",106,130,90,110,154,90,2,TRUE
251,"Celebi","Psychic","Grass",100,100,100,100,100,100,2,FALSE
252,"Treecko","Grass",NA,40,45,35,65,55,70,3,FALSE
253,"Grovyle","Grass",NA,50,65,45,85,65,95,3,FALSE
254,"Sceptile","Grass",NA,70,85,65,105,85,120,3,FALSE
255,"Torchic","Fire",NA,45,60,40,70,50,45,3,FALSE
256,"Combusken","Fire","Fighting",60,85,60,85,60,55,3,FALSE
257,"Blaziken","Fire","Fighting",80,120,70,110,70,80,3,FALSE
258,"Mudkip","Water",NA,50,70,50,50,50,40,3,FALSE
259,"Marshtomp","Water","Ground",70,85,70,60,70,50,3,FALSE
260,"Swampert","Water","Ground",100,110,90,85,90,60,3,FALSE
261,"Poochyena","Dark",NA,35,55,35,30,30,35,3,FALSE
262,"Mightyena","Dark",NA,70,90,70,60,60,70,3,FALSE
263,"Zigzagoon","Normal",NA,38,30,41,30,41,60,3,FALSE
264,"Linoone","Normal",NA,78,70,61,50,61,100,3,FALSE
265,"Wurmple","Bug",NA,45,45,35,20,30,20,3,FALSE
266,"Silcoon","Bug",NA,50,35,55,25,25,15,3,FALSE
267,"Beautifly","Bug","Flying",60,70,50,100,50,65,3,FALSE
268,"Cascoon","Bug",NA,50,35,55,25,25,15,3,FALSE
269,"Dustox","Bug","Poison",60,50,70,50,90,65,3,FALSE
270,"Lotad","Water","Grass",40,30,30,40,50,30,3,FALSE
271,"Lombre","Water","Grass",60,50,50,60,70,50,3,FALSE
272,"Ludicolo","Water","Grass",80,70,70,90,100,70,3,FALSE
273,"Seedot","Grass",NA,40,40,50,30,30,30,3,FALSE
274,"Nuzleaf","Grass","Dark",70,70,40,60,40,60,3,FALSE
275,"Shiftry","Grass","Dark",90,100,60,90,60,80,3,FALSE
276,"Taillow","Normal","Flying",40,55,30,30,30,85,3,FALSE
277,"Swellow","Normal","Flying",60,85,60,50,50,125,3,FALSE
278,"Wingull","Water","Flying",40,30,30,55,30,85,3,FALSE
279,"Pelipper","Water","Flying",60,50,100,85,70,65,3,FALSE
280,"Ralts","Psychic","Fairy",28,25,25,45,35,40,3,FALSE
281,"Kirlia","Psychic","Fairy",38,35,35,65,55,50,3,FALSE
282,"Gardevoir","Psychic","Fairy",68,65,65,125,115,80,3,FALSE
283,"Surskit","Bug","Water",40,30,32,50,52,65,3,FALSE
284,"Masquerain","Bug","Flying",70,60,62,80,82,60,3,FALSE
285,"Shroomish","Grass",NA,60,40,60,40,60,35,3,FALSE
286,"Breloom","Grass","Fighting",60,130,80,60,60,70,3,FALSE
287,"Slakoth","Normal",NA,60,60,60,35,35,30,3,FALSE
288,"Vigoroth","Normal",NA,80,80,80,55,55,90,3,FALSE
289,"Slaking","Normal",NA,150,160,100,95,65,100,3,FALSE
290,"Nincada","Bug","Ground",31,45,90,30,30,40,3,FALSE
291,"Ninjask","Bug","Flying",61,90,45,50,50,160,3,FALSE
292,"Shedinja","Bug","Ghost",1,90,45,30,30,40,3,FALSE
293,"Whismur","Normal",NA,64,51,23,51,23,28,3,FALSE
294,"Loudred","Normal",NA,84,71,43,71,43,48,3,FALSE
295,"Exploud","Normal",NA,104,91,63,91,73,68,3,FALSE
296,"Makuhita","Fighting",NA,72,60,30,20,30,25,3,FALSE
297,"Hariyama","Fighting",NA,144,120,60,40,60,50,3,FALSE
298,"Azurill","Normal","Fairy",50,20,40,20,40,20,3,FALSE
299,"Nosepass","Rock",NA,30,45,135,45,90,30,3,FALSE
300,"Skitty","Normal",NA,50,45,45,35,35,50,3,FALSE
301,"Delcatty","Normal",NA,70,65,65,55,55,70,3,FALSE
302,"Sableye","Dark","Ghost",50,75,75,65,65,50,3,FALSE
303,"Mawile","Steel","Fairy",50,85,85,55,55,50,3,FALSE
304,"Aron","Steel","Rock",50,70,100,40,40,30,3,FALSE
305,"Lairon","Steel","Rock",60,90,140,50,50,40,3,FALSE
306,"Aggron","Steel","Rock",70,110,180,60,60,50,3,FALSE
307,"Meditite","Fighting","Psychic",30,40,55,40,55,60,3,FALSE
308,"Medicham","Fighting","Psychic",60,60,75,60,75,80,3,FALSE
309,"Electrike","Electric",NA,40,45,40,65,40,65,3,FALSE
310,"Manectric","Electric",NA,70,75,60,105,60,105,3,FALSE
311,"Plusle","Electric",NA,60,50,40,85,75,95,3,FALSE
312,"Minun","Electric",NA,60,40,50,75,85,95,3,FALSE
313,"Volbeat","Bug",NA,65,73,55,47,75,85,3,FALSE
314,"Illumise","Bug",NA,65,47,55,73,75,85,3,FALSE
315,"Roselia","Grass","Poison",50,60,45,100,80,65,3,FALSE
316,"Gulpin","Poison",NA,70,43,53,43,53,40,3,FALSE
317,"Swalot","Poison",NA,100,73,83,73,83,55,3,FALSE
318,"Carvanha","Water","Dark",45,90,20,65,20,65,3,FALSE
319,"Sharpedo","Water","Dark",70,120,40,95,40,95,3,FALSE
320,"Wailmer","Water",NA,130,70,35,70,35,60,3,FALSE
321,"Wailord","Water",NA,170,90,45,90,45,60,3,FALSE
322,"Numel","Fire","Ground",60,60,40,65,45,35,3,FALSE
323,"Camerupt","Fire","Ground",70,100,70,105,75,40,3,FALSE
324,"Torkoal","Fire",NA,70,85,140,85,70,20,3,FALSE
325,"Spoink","Psychic",NA,60,25,35,70,80,60,3,FALSE
326,"Grumpig","Psychic",NA,80,45,65,90,110,80,3,FALSE
327,"Spinda","Normal",NA,60,60,60,60,60,60,3,FALSE
328,"Trapinch","Ground",NA,45,100,45,45,45,10,3,FALSE
329,"Vibrava","Ground","Dragon",50,70,50,50,50,70,3,FALSE
330,"Flygon","Ground","Dragon",80,100,80,80,80,100,3,FALSE
331,"Cacnea","Grass",NA,50,85,40,85,40,35,3,FALSE
332,"Cacturne","Grass","Dark",70,115,60,115,60,55,3,FALSE
333,"Swablu","Normal","Flying",45,40,60,40,75,50,3,FALSE
334,"Altaria","Dragon","Flying",75,70,90,70,105,80,3,FALSE
335,"Zangoose","Normal",NA,73,115,60,60,60,90,3,FALSE
336,"Seviper","Poison",NA,73,100,60,100,60,65,3,FALSE
337,"Lunatone","Rock","Psychic",70,55,65,95,85,70,3,FALSE
338,"Solrock","Rock","Psychic",70,95,85,55,65,70,3,FALSE
339,"Barboach","Water","Ground",50,48,43,46,41,60,3,FALSE
340,"Whiscash","Water","Ground",110,78,73,76,71,60,3,FALSE
341,"Corphish","Water",NA,43,80,65,50,35,35,3,FALSE
342,"Crawdaunt","Water","Dark",63,120,85,90,55,55,3,FALSE
343,"Baltoy","Ground","Psychic",40,40,55,40,70,55,3,FALSE
344,"Claydol","Ground","Psychic",60,70,105,70,120,75,3,FALSE
345,"Lileep","Rock","Grass",66,41,77,61,87,23,3,FALSE
346,"Cradily","Rock","Grass",86,81,97,81,107,43,3,FALSE
347,"Anorith","Rock","Bug",45,95,50,40,50,75,3,FALSE
348,"Armaldo","Rock","Bug",75,125,100,70,80,45,3,FALSE
349,"Feebas","Water",NA,20,15,20,10,55,80,3,FALSE
350,"Milotic","Water",NA,95,60,79,100,125,81,3,FALSE
351,"Castform","Normal",NA,70,70,70,70,70,70,3,FALSE
352,"Kecleon","Normal",NA,60,90,70,60,120,40,3,FALSE
353,"Shuppet","Ghost",NA,44,75,35,63,33,45,3,FALSE
354,"Banette","Ghost",NA,64,115,65,83,63,65,3,FALSE
355,"Duskull","Ghost",NA,20,40,90,30,90,25,3,FALSE
356,"Dusclops","Ghost",NA,40,70,130,60,130,25,3,FALSE
357,"Tropius","Grass","Flying",99,68,83,72,87,51,3,FALSE
358,"Chimecho","Psychic",NA,65,50,70,95,80,65,3,FALSE
359,"Absol","Dark",NA,65,130,60,75,60,75,3,FALSE
360,"Wynaut","Psychic",NA,95,23,48,23,48,23,3,FALSE
361,"Snorunt","Ice",NA,50,50,50,50,50,50,3,FALSE
362,"Glalie","Ice",NA,80,80,80,80,80,80,3,FALSE
363,"Spheal","Ice","Water",70,40,50,55,50,25,3,FALSE
364,"Sealeo","Ice","Water",90,60,70,75,70,45,3,FALSE
365,"Walrein","Ice","Water",110,80,90,95,90,65,3,FALSE
366,"Clamperl","Water",NA,35,64,85,74,55,32,3,FALSE
367,"Huntail","Water",NA,55,104,105,94,75,52,3,FALSE
368,"Gorebyss","Water",NA,55,84,105,114,75,52,3,FALSE
369,"Relicanth","Water","Rock",100,90,130,45,65,55,3,FALSE
370,"Luvdisc","Water",NA,43,30,55,40,65,97,3,FALSE
371,"Bagon","Dragon",NA,45,75,60,40,30,50,3,FALSE
372,"Shelgon","Dragon",NA,65,95,100,60,50,50,3,FALSE
373,"Salamence","Dragon","Flying",95,135,80,110,80,100,3,FALSE
374,"Beldum","Steel","Psychic",40,55,80,35,60,30,3,FALSE
375,"Metang","Steel","Psychic",60,75,100,55,80,50,3,FALSE
376,"Metagross","Steel","Psychic",80,135,130,95,90,70,3,FALSE
377,"Regirock","Rock",NA,80,100,200,50,100,50,3,TRUE
378,"Regice","Ice",NA,80,50,100,100,200,50,3,TRUE
379,"Registeel","Steel",NA,80,75,150,75,150,50,3,TRUE
380,"Latias","Dragon","Psychic",80,80,90,110,130,110,3,TRUE
381,"Latios","Dragon","Psychic",80,90,80,130,110,110,3,TRUE
382,"Kyogre","Water",NA,100,100,90,150,140,90,3,TRUE
383,"Groudon","Ground",NA,100,150,140,100,90,90,3,TRUE
384,"Rayquaza","Dragon","Flying",105,150,90,150,90,95,3,TRUE
385,"Jirachi","Steel","Psychic",100,100,100,100,100,100,3,TRUE
386,"Deoxys","Psychic",NA,50,150,50,150,50,150,3,TRUE
387,"Turtwig","Grass",NA,55,68,64,45,55,31,4,FALSE
388,"Grotle","Grass",NA,75,89,85,55,65,36,4,FALSE
389,"Torterra","Grass","Ground",95,109,105,75,85,56,4,FALSE
390,"Chimchar","Fire",NA,44,58,44,58,44,61,4,FALSE
391,"Monferno","Fire","Fighting",64,78,52,78,52,81,4,FALSE
392,"Infernape","Fire","Fighting",76,104,71,104,71,108,4,FALSE
393,"Piplup","Water",NA,53,51,53,61,56,40,4,FALSE
394,"Prinplup","Water",NA,64,66,68,81,76,50,4,FALSE
